Saponaceous	Sí	Jabonoso.
Farinaceous	Sí	Harinoso.
Gallinaceous	Sí	Relativo a las aves.
Cretaceous	Sí	Cretácico.
Herbaceous	Sí	Herbáceo.
Sebaceous	Sí	Sebáceo.
Testingness	No	Inventada.
Happyness	No	Ortografía incorrecta (happiness).
Sadness	Sí	Tristeza.
Kindness	Sí	Amabilidad.
Weakness	Sí	Debilidad.
Boldness	Sí	Audacia.
Coldness	Sí	Frialdad.
Darkness	Sí	Oscuridad.
Fairness	Sí	Equidad.
Goodness	Sí	Bondad.
Hardness	Sí	Dureza.
Illness	Sí	Enfermedad.
Loudness	Sí	Volumen.
Madness	Sí	Locura.
Nearness	Sí	Cercanía.
Richness	Sí	Riqueza.
Softness	Sí	Suavidad.
Tallness	Sí	Estatura.
Vastness	Sí	Inmensidad.
Wildness	Sí	Fiereza.
Eagerness	Sí	Ansia.
Fullness	Sí	Plenitud.
Gladness	Sí	Alegría.
Holiness	Sí	Santidad.
Idleness	Sí	Ociosidad.
Justness	Sí	Justicia.
Keenness	Sí	Agudeza.
Meekness	Sí	Mansedumbre.
Newness	Sí	Novedad.
Openness	Sí	Franqueza.
Pureness	Sí	Pureza.
Quickness	Sí	Rapidez.
Rareness	Sí	Rareza.
Sureness	Sí	Certeza.
Tidiness	Sí	Orden.
Uglyness	No	Ortografía incorrecta (ugliness).
Vainness	Sí	Vanidad.
Waryness	No	Ortografía incorrecta (wariness).
Xeroxness	No	Inventada.
Youthness	No	Incorrecto (youthfulness).
Zealness	No	Incorrecto (zeal).
Awkwardness	Sí	Torpeza.
Backwardness	Sí	Atraso.
Cleverness	Sí	Ingenio.
Drunkenness	Sí	Embriaguez.
Forwardness	Sí	Atrevimiento.
Giddiness	Sí	Mareo.
Happiness	Sí	Felicidad.
Jovialness	No	Incorrecto (joviality).
Loneliness	Sí	Soledad.
Moodiness	Sí	Mal humor.
Naughtiness	Sí	Travesura.
Politeness	Sí	Cortesía.
Quietness	Sí	Tranquilidad.
Readiness	Sí	Disponibilidad.
Steadiness	Sí	Estabilidad.
Thirstiness	Sí	Sed.
Unsteadiness	Sí	Inestabilidad.
Viciousness	Sí	Maldad.
Worthiness	Sí	Mérito.
Yellowishness	Sí	Amarillez.
Zestiness	Sí	Entusiasmo.
Abruptness	Sí	Brusquedad.
Blankness	Sí	Vacío.
Crispness	Sí	Frescura.
Dampness	Sí	Humedad.
Exactness	Sí	Exactitud.
Flatness	Sí	Llanura.
Grimness	Sí	Severidad.
Hoarseness	Sí	Ronquera.
Inertness	Sí	Inercia.
Jointness	Sí	Cooperación.
Knitness	No	Inventada.
Lightness	Sí	Ligereza.
Meanness	Sí	Maldad.
Numbness	Sí	Entumecimiento.
Oddness	Sí	Rareza.
Promptness	Sí	Prontitud.
Quaintness	Sí	Originalidad.
Roughness	Sí	Aspereza.
Smoothness	Sí	Suavidad.
Toughness	Sí	Resistencia.
Upness	No	Inventada.
Vividness	Sí	Intensidad.
Witness	Sí	Testigo.
Xenonness	No	Inventada.
Youngness	No	Incorrecto (youth).
Zanyness	No	Ortografía incorrecta (zaniness).
Abstractness	Sí	Abstracción.
Correctness	Sí	Corrección.
Distinctness	Sí	Claridad.
Expertness	Sí	Pericia.
Firmness	Sí	Firmeza.
Greatness	Sí	Grandeza.
Humbleness	Sí	Humildad.
Inboundness	No	Inventada.
Kindliness	Sí	Bondad.
Loveliness	Sí	Belleza.
Modernness	No	Incorrecto (modernity).
Narrowness	Sí	Estrechez.
Overallness	No	Inventada.
Perfectness	No	Incorrecto (perfection).
Quintness	No	Inventada.
Robustness	Sí	Robustez.
Strictness	Sí	Severidad.
Tightness	Sí	Tensión.
Unique-ness	No	Incorrecto (uniqueness).
Vueness	No	Inventada.
Worldness	No	Inventada.
Xylophoness	No	Inventada.
Yesterdayness	No	Inventada.
Zingness	No	Inventada.
